ti,ab,py
generalization of the right acute stroke promotive strategies in reducing delays of intravenous thrombolysis for acute ischemic stroke: a .,"the generalization of successful efforts for reducing time delays in intravenous thrombolysis (ivt) could help facilitate its utility and benefits in acute ischemic stroke (ais) .we  the  and em  for    to reduce time delays in ivt,  between january 1995 and september 2017. the ivt rate was chosen as the primary , while the compliance rates of onsettodoor time (prehospital delay) and doortoneedle time (inhospital delay) within the targeted time frame were the secondary .  designed to reduce prehospital, inhospital, or total time delays were quantitatively described in . the efficacy of post improvement was illustrated as odds ratios (ors) and 95% confidence  (95% cis).in total, 86  (17 on prehospital, 56 on inhospital, and 13 on total delay) encompassing 17,665 ivt cases were enrolled, including 28 american, 23 asian, 30 european, and 5 australian . the  revealed statistically significant improvement in promoting ivt delivery after prehospital improvement  with an or of 1.45 (95% ci, 1.231.71) for the new transportation protocol, 1.38 (95% ci, 1.111.73) for educational and training programs, and 1.83 (95% ci, 1.442.32) for comprehensive prehospital stroke code. the benefits of reducing inhospital delay were much greater in developed western countries than in asian countries, with ors of 2.90 (95% ci, 2.513.34), 2.17 (95% ci, 1.952.41), and 1.89 (95% ci, 1.742.04) in american, european, and asian countries, respectively. and telemedicine (or, 2.26; 95% ci, 2.082.46) seemed to work better than prenotification alone (or, 1.94; 95% ci, 1.742.17) and inhospital organizational improvement programs (or, 2.10; 95% ci, 1.972.23). mobile stroke  unit and use of a comprehensive stroke pathway in the pre and inhospital settings significantly increased ivt rates by reducing total time delay, with ors of 2.01 (95% ci, 1.602.51) and 1.77 (95% ci, 1.552.03), respectively.optimization of the work flow with organizational improvement or novel technology could dramatically reduce pre and inhospital time delays of ivt in ais. this  provided detailed information on the net and quantitative benefits of various programs for reducing time delays to facilitate the generalization of appropriate ais management.",2018
intravenous thrombolytic therapy for ischemic stroke via telemedicine compared with bedside  in an experienced stroke unit,NA,2015
rapid eye movements for acute stress disorder using video conference communication.,"in order to  reduce the risk of developing longlasting mental disorders in the aftermath of traumatic stress exposure,  must be offered early on. therefore, access to expert assistance can have significant  on prognosis. rapid eye movements are part of the eye movement desensitization and reprocessing procedure that gained considerable attention in previous years. the  present a  suffering from an acute stress disorder, treated by rapid eye movements through telepsychiatry services.",2007
brief motivational  for teens at risk of substance use consequences: a  pilot  in a primary care clinic.,"the current   the impact of a brief motivational  (mi)  (project chat) on alcohol consumption and drug use for highrisk teens in a primary care clinic that provides health care for underserved populations. youth (n=42, 48% male) were , and those eligible completed a  survey.  survey completers were  assigned to usual care or to an mi  and completed a 3month followup survey. the sample (age 12 to 18 years) was 85.7% hispanic or latino, 9.5% african american, and 4.8% white. at the 3month followup, project chat teens  less marijuana use, lower perceived prevalence of marijuana use, fewer friends who used marijuana, and lower intentions to use marijuana in the next 6 months, as compared to teens assigned to usual care. providing this type of brief  is a viable approach to working with highrisk teens to decrease substance use.",2008
reach musc: a telemedicine facilitated network for stroke: initial operational experience.,"reach medical university of south carolina (musc) provides stroke consults via the internet in south carolina. from may 2008 to april 2011 231  were treated with intravenous (iv) thrombolysis and 369 were transferred to musc including 42 for intraarterial revascularization [with or without iv tissue plasminogen activator (tpa)]. medical  and hemorrhage rates,  elsewhere, were good (lazaridis et al., 2011). here we  operational features of reach musc which covers 15 sites with 2,482 beds and 471,875 emergency department (ed) visits per year. eight academic faculty from musc worked with 165 different physicians and 325 different nurses in the conduct of 1085 consults. for the 231 who received tpa, time milestones (in minutes) were: onset to door: 62 (mean), 50 (median); door to reach consult: 43 and 33, consult request to consult start: was 9 and 7, consult start to tpa decision: 31 and 25; decision to infusion: 20 and 14, and total door to needle: 98 and 87. the comparable times for the 854 not receiving tpa were: onset to door: 140 and 75; door to reach consult: 61 and 41; consult request to consult start: 9 and 7, consult start to tpa decision: 27 and 23. while the consultants respond to consult requests in <10, there is a long delay between arrival and consult request. tracking of operations indicates if we target shortening door to call time and time from tpa decision to start of drug infusion we may be able to improve door to needle times to target of <60. the large number of individuals involved in the care of these , most of whom had no training in reach usage, will require novel approaches to staff education in ed  operations where turnover is high. despite these challenges, this robust  delivered tpa safely and in a high fraction of  evaluated using the reach musc .",2012
thrombolysis to stroke mimics in telestroke.,"stroke mimics are  diagnosed initially with stroke who finally receive a different diagnosis, such as seizure, conversion disorder or encephelopathy. we compared the number of stroke mimics receiving thrombolytic therapy via a telestroke network and via a conventional primary stroke centre. we  the  on all  who received intravenous tpa through the arsaves statewide telestroke network or at the university of arkansas for medical sciences (uams) stroke centre between november 2008 and january 2012. during the  period there were 252  (46 uams, 206 arsaves). of the 206 telestroke , 141  (68%) were transferred to the uams and were  there by a vascular neurologist where a diagnosis of stroke or stroke mimic was made; 65  (32%) stayed at the peripheral site and were excluded from the present . of the 189  , 3month   were available on 166 (89%), 43 from uams (94%) and 123 from arsaves (87%). the mean door to needle time was significantly shorter at the uams (72 min vs. 91 min, p = 0.001). , the percentage of good  was similar in both  (70% vs. 58%, p = 0.21) and both  had similar total time from symptom onset to  (154 min vs. 156 min, p = 0.81) and similar  characteristics. the percentage of stroke mimics was similar in the two : uams 4.3% and arsaves 7.8% (p = 0.53). although making a diagnosis of stroke mimic may be challenging on facetoface encounter, our  shows that this challenge does not increase if telemedicine is used instead. larger prospective  are now required to confirm the findings of our .",2012
stroke team remote  using a digital observation camera in arizona: the initial mayo clinic experience .," and : telemedicine techniques can be used to address the ruralmetropolitan disparity in acute stroke care. the stroke team remote  using a digital observation camera (stroke doc)   more accurate decision making for telemedicine consultations compared with telephoneonly and that the california  network facilitated a high rate of thrombolysis use, improved  collection, low risk of complications, low technical complications, and favorable assessment times. the main objective of the stroke doc arizona time (the initial mayo clinic experience)  was to determine the feasibility of establishing, de novo, a singlehub, multirural spoke hospital telestroke  network across a large geographical area in arizona by replicating the stroke doc protocol. :  included prospective, singlehub, 2spoke, , blinded,   of a 2way, siteindependent, audiovisual telemedicine  designed for remote  of adult  with acute stroke versus telephone consultation to assess eligibility for  with intravenous thrombolysis. the primary  measure was whether the decision to give thrombolysis was correct. secondary  were rate of thrombolytic use, 90day functional , incidence of intracerebral hemorrhages, and technical observations. : from december 2007 to october 2008, 54  were assessed, 27 of whom were  to each arm. mean national institutes of health stroke scale score at presentation was 7.3 (sd 6.2) points. no consultations were aborted; , technical problems (74%) were prevalent in the telemedicine arm. overall, the correct  decision was established in 87% of the consultations. both modalities, telephone (89% correct) and telemedicine (85% correct), performed well. intravenous thrombolytic  was used in 30% of the telemedicine and telephone consultations. good functional  at 90 days were not significantly different. there were no statistically significant differences in mortality (4% in telemedicine and 11% in telephone) or rates of intracerebral hemorrhage (4% in telemedicine and 0% in telephone). : it is feasible to extend the original stroke doc  protocol to a new state and establish an operational singlehub, multispoke rural hospital telestroke  network in arizona. the  was not designed to have sufficient power to detect a difference between the 2 consultative modes: telemedicine and telephoneonly. whether by telemedicine or telephone consultative modalities, there were appropriate  decisions, high rates of thrombolysis use, improved  collection, low rates of intracerebral hemorrhage, and equally favorable time requirements. the learning curve was steep for the hub and spoke personnel of the new telestroke network, as reflected by frequent technical problems. overall, the  support the  of highly organized and structured stroke telemedicine networks for extending expert stroke care into rural remote communities lacking sufficient neurological expertise.",2010
combined therapy of oral cancer bleomycin and radiation: a clinical .,"a concurrent   clinical  to evaluate a combination of bleomycin and radiation as against radiation only in the  of advanced oral cancer has been conducted at the cancer institute, madras, since 1971. all t3 and t4 previously untreated oral squamous cell carcinomas with n0, n1 and n2 regional nodes, or n3 nodes confined to the submandibular region, without   or gross infiltration of the temporal and infratemporal fossa producing total trismus, and in decent general health were eligible for the .  with gross active pulmonary tuberculosis were excluded, as were recurrent carcinomas. age, external fungation of growth or radiological bone invasion were no bar.  was done by the sealed envelope technique. the   received concurrent fractionated cobalt 60 teletherapy using two opposing fields and 1015 mg of intraarterial or intravenous bleomycin. the  received fractionated cobalt teletherapy and i.v. or i.m. distilled water on the same protocol as the bleomycin cases. all cases were evaluated double blind 8 weeks after the end of radiation therapy, and were classified as 'favourable response' or 'failure'. the criterion of 'favourable response' was 'total clinical healing of the tumour within the volume of irradiation with no subsequent recurrence within that volume, whatever the length of follow up'. anything else was  as a failure. a long term follow up of 3 years is also available. 136 cases have completed the . the favourable response in the   was 77% as against 20.9% in the  . the differential response is statistically significant. the present  is the fourth in the series of combined therapeutic  conducted in advanced oral squamous cell carcinoma since 1958. (krishnamurthi and shanta, 1963, 1965, 1967 and 1971). a concurrent   clinical  to evaluate the combination of bleomycin and radiation as against radiation only in  of advanced oral cancer has been conducted at the cancer institute, madras since 1971.",1977
  of stroke thrombolysis service configuration.,"intravenous recombinant tissue plasminogen activator is a highly   for acute ischemic stroke, but routine provision is challenging. we compared the activity, safety and response times of five service configurations: local services, redirection of selected or all suspected stroke  by emergency medical services (ems) to stroke centers and the use of telemedicine with and without secondary transfer to a stroke center. in total, 59 relevant service descriptions were identified. pooled  rates (mean +/ standard deviation [sd]) per 100 confirmed stroke  were: local service design, 2.5 +/ 2.5 (n = 21417); ems redirection of only  potentially eligible for thrombolysis, 3.9 +/ 1.2 (n = 1872); ems redirection of all suspected stroke , 3.8 +/ 1.1 (n = 5427); telemedicine with secondary transfer, 6.9 (no pooled sd; n = 749); and telemedicine without secondary transfer, 3.4 (no pooled sd; n = 6610). a comprehensive stroke  register was completed for only five regional collaborations,  in pooled ischemic stroke  rates of 5.7 (95% confidence : 4.66.9; n = 7815) compared with 3.1 (95% confidence : 2.14.1; n = 31411) for local services. pooled symptomatic hemorrhage rates were similar for all service designs (range: 3.95.1%). average doorneedle times exceeded 60 min in most . we conclude that regional collaborations achieve higher rates of thrombolysis than local services working in isolation. stroke services should continue to  thrombolysis activity and safety  in a recommended format in order to determine the most suitable configuration for different settings.",2009
benefits of stroke  using a mobile stroke unit compared with standard management: the bestmsu  runin phase.," and : faster  with intravenous tissuetype plasminogen activator (tpa) is likely to improve . optimizing prehospital triage by mobile stroke units (msus) may speed  times. the benefits of stroke  delivered using a mobile stroke unit (bestmsu)  was launched in may 2014 using the first msu in the united states to compare stroke management using an msu versus standard management (sm). herein, we describe the  of the prespecified, non runin phase designed to obtain preliminary  on  logistics. : the runin phase consisted of 8 msu weeks when all care occurred on the msu and 2 sm weeks when the msu nurse met personnel on scene or at the emergency department to ensure comparability with msu . telemedicine was independently performed in 9 msu cases. : of 130 alerts, 24 msu and 2 sm  were enrolled. twelve of 24 msu  received tpa on board; 4 were treated within 60 minutes of last seen normal, and 4 went on to endovascular . there were no hemorrhagic complications. four had primary intracerebral hemorrhage. agreement on tpa eligibility between the onsite and telemedicine physician was 90%. : the runin phase provided a tpa  rate of 1.5  per week, assured us that  within 60 minutes of onset is possible, and enabled enrollment of  on sm weeks. we also recognized the opportunity to assess the  of the msu on endovascular  and intracerebral hemorrhage. challenges include the need to  biased  selection on msu versus sm weeks and establish interrater agreement for tpa  using telemedicine.",2015
teleradiology assessment of computerized tomographs online reliability  (tractors) for acute stroke .,"telemedicine has potential to increase the use of tissue plasminogen activator (tpa) for ischemic stroke and is increasingly offered to provide stroke expertise to remote and underserved areas. the accuracy of stroke neurologists' use of telemedicine to read head computed tomography scans (ct) has not been demonstrated. we sought to determine the validity and reliability of neurologists' reading of acute stroke head cts via teleradiology. the pilot  compared stroke neurologists' reading of cts via teleradiology to gold standard readings of hard copies on a view box. head cts obtained during consecutive acute  for thrombolytic therapy between february and july 2001 were used. for this , each stroke neurologist was masked to all prior readings, clinical decisions regarding thrombolysis eligibility, and the reading of the other  neurologist. each neurologist read onehalf of the ct scans using teleradiology and the other onehalf using a view box. we used the official reading by a neuroradiologist for comparison. the kappa statistic measured reliability. validity was measured by sensitivity and specificity. sixty scans were used for the . the neurologists identified the same four hemorrhages using teleradiology that they and the neuroradiologist identified using the light board. compared to the readings on a view box, the kappa statistic for eligibility for thrombolysis via teleradiology was 1.0. sensitivity was 100%, 95% ci = (0.93, 1.0); specificity was 100%, 95% ci = (0.40, 0.98) in both comparisons. this pilot  provides encouraging preliminary evidence that neurologists with stroke expertise can determine radiological intravenous tpa eligibility via teleradiology. further  in a larger sample is necessary to validate these .",2003
"ct interpretation in a telestroke network: agreement among a spoke radiologist, hub vascular neurologist, and hub neuroradiologist."," and : the american stroke association guidelines emphasized the need for further highquality  that assess agreement by radiologists and nonradiologists engaged in emergency telestroke assessments and decisionmaking. therefore, the objective of this  was to determine the level of agreement of  brain ct scan interpretations of  with acute stroke presenting to telestroke spoke hospitals between central reading committee neuroradiologists and each of 2 , spoke hospital radiologists and hub hospital vascular neurologists (telestrokologists). : the stroke team remote  using a digital observation camera arizona  was a prospective, urban singlehub, rural 2spoke, , blinded,   of a 2way, siteindependent, audiovisual telemedicine and teleradiology  designed for remote  of adult  with acute stroke versus telephone consultation to assess eligibility for  with intravenous thrombolysis. in the telemedicine arm, the subjects' ct scans were interpreted by the hub telestrokologist and in the telephone arm by the spoke radiologist. all subjects' ct scans were subsequently interpreted centrally, independently, and blindly by 2 hub neuroradiologists. the primary ct  was determination of a ct contraindication to thrombolytic . kappa statistics and exact agreement rates were used to  interobserver agreement. : fiftyfour subjects underwent  assignment. the overall agreement for the presence of radiological contraindications to thrombolysis was excellent (0.91) and did not differ substantially between the hub telestrokologist to neuroradiologist and spoke radiologist to neuroradiologist (0.92 and 0.89, respectively). : in the context of a telestroke network designed to assess  with acute stroke syndromes, agreement over the presence or absence of radiological contraindications to thrombolysis was excellent whether the comparisons were between a telestrokologist and neuroradiologist or between spoke radiologist and neuroradiologist. clinical  registration url.: http://www.clinical.gov. unique identifier: nct00623350.",2012
diagnosis and  of  with stroke in a mobile stroke unit versus in hospital: a   .,": only 25% of  who have a stroke receive thrombolytic , mainly because of delay in reaching the hospital. we aimed to assess the efficacy of a new approach of diagnosis and  starting at the emergency site, rather than after hospital arrival, in reducing delay in stroke therapy. : we did a  singlecentre   to compare the time from alarm (emergency call) to therapy decision between mobile stroke unit (msu) and hospital . for inclusion in our   needed to be aged 1880 years and have one or more stroke symptoms that started within the previous 2·5 h. in accordance with our weekwise  plan,  received either prehospital stroke  in a specialised ambulance (equipped with a ct scanner, pointofcare laboratory, and telemedicine connection) or optimised conventional hospital stroke  ( ) with a 7 day followup. allocation was not masked from  and investigators. our primary endpoint was time from alarm to therapy decision, which was  with the mannwhitney u . our secondary endpoints included times from alarm to end of ct and to end of laboratory , number of  receiving intravenous thrombolysis, time from alarm to intravenous thrombolysis, and neurological . we also assessed safety endpoints. this  is registered with clinical.gov, number nct00153036. findings: we stopped the  after our planned interim  at 100 of 200 planned  (53 in the prehospital stroke  , 47 in the  ), because we had met our prespecified criteria for  termination. prehospital stroke  reduced the median time from alarm to therapy decision substantially: 35 min (iqr 3139) versus 76 min (6394), p<0·0001; median difference 41 min (95% ci 3648 min). we also detected similar gains regarding times from alarm to end of ct, and alarm to end of laboratory , and to intravenous thrombolysis for eligible ischaemic stroke , although there was no substantial difference in number of  who received intravenous thrombolysis or in neurological . safety endpoints seemed similar across the . interpretation: for  with suspected stroke,  by the msu substantially reduced median time from alarm to therapy decision. the msu strategy offers a potential solution to the medical problem of the arrival of most stroke  at the hospital too late for . funding: ministry of health of the saarland, germany, the wernerjackstädt foundation, the elsekrönerfresenius foundation, and the rettungsstiftung saar.",2012
the chain of care enabling tpa  in acute ischemic stroke: a comprehensive  of organisational models.,"protracted and partial implementation of  with intravenous tissue plasminogen activator (tpa) within 4.5 h after acute stroke onset  in potentially eligible  not receiving optimal . the goal of this  was to  the performance of various organisational models of acute stroke care delivery, and subsequent attempts to improve implementation of tpa . publications comprehensively  on organisational models to improve implementation of i.v. tpa  of acute ischemic stroke  were selected. the efficacy of organisational models was assessed using process  measures: thrombolysis rates, timedependent operational endpoints (time delays), functional : safety (rate of symptomatic intracranial hemorrhage, mortality rates) and clinical  at 90 days (modified rankin scale). fiftyeight   assessing organisational models were identified. four dominant models of acute stroke care delivery were discerned, i.e., primary and comprehensive stroke centres, telemedicine, and the mobile stroke unit. performance  for these models suggest a large variation in administration of thrombolytic therapy (0.730 %). time delays and functional  found varied considerably, just like safety and mortality (0.011.5 %, and 3.431.9 %, respectively). these findings suggest that improving organisational models for tpa  may improve acute stroke care. , implementation may be hampered by regional variation in acute stroke care c, expertise, and a fragmented approach towards organising stroke care.",2013
formation and function of acute strokeready hospitals within a stroke  of care recommendations from the brain attack coalition.," and : many  with an acute stroke live in areas without ready access to a primary or comprehensive stroke center. the formation of care facilities that meet the needs of these  might improve their care and  and guide them and emergency responders to such centers within a stroke  of care. : the brain attack coalition conducted an electronic  of the english medical  from january 2000 to december 2012 to identify care elements and processes shown to be beneficial for acute stroke care. we used evidence grading and consensus paradigms to synthesize recommendations for acute strokeready hospitals (asrhs). : several key elements for an asrh were identified, including acute stroke teams, written care protocols, involvement of emergency medical services and emergency department, and rapid laboratory and neuroimaging . unique aspects include the use of telemedicine, hospital transfer protocols, and drip and ship therapies. emergent therapies include the use of intravenous tissuetype plasminogen activator and the reversal of coagulopathies. although many of the care elements are similar to those of a primary stroke center, compliance rates of ≥67% are suggested in recognition of the staffing, logistical, and financial challenges faced by rural facilities. : asrhs will form the foundation for acute stroke care in many settings. recommended elements of an asrh build on those proven to improve care and  at primary stroke centers. the asrh will be a key component for  care within an evolving stroke  of care.",2013
 of golden hour thrombolysis: a prehospital acute neurological  and optimization of medical care in stroke (phantoms) sub.,"importance: the  of intravenous thrombolysis in acute ischemic stroke is time dependent. the  are likely to be highest if the time from symptom onset to  is within 60 minutes, termed the golden hour. objective: to determine the achievable rate of golden hour thrombolysis in prehospital care and its  on . design, setting, and : the prospective  prehospital acute neurological  and optimization of medical care in stroke  was conducted in berlin, germany, within an established infrastructure for stroke care. weeks were  according to the availability of a specialized ambulance (stroke emergency mobile unit (stemo) from may 1, 2011, through january 31, 2013. we included 6182 consecutive adult  for whom a stroke dispatch (44.1% male; mean [sd] age, 73.9 [15.0] years) or regular care (45.0% male; mean [sd] age, 74.2 [14.9] years) were included. : the stemo was deployed when the dispatchers suspected an acute stroke during emergency calls. if stemo was not available (during  weeks, when the unit was already in operation, or during maintenance),  received conventional care. the stemo is equipped with a computed tomographic scanner plus a pointofcare laboratory and telemedicine connection. the unit is staffed with a neurologist trained in emergency medicine, a paramedic, and a technician. thrombolysis was started in stemo if a stroke was confirmed and no contraindication was found. main  and measures: rates of golden hour thrombolysis, 7 and 90day mortality, secondary intracerebral hemorrhage, and discharge home. : thrombolysis rates in ischemic stroke were 200 of 614  (32.6%) when stemo was deployed and 330 of 1497  (22.0%) when conventional care was administered (p < .001). among all  who received thrombolysis, the proportion of golden hour thrombolysis was 6fold higher after stemo deployment (62 of 200  [31.0%] vs 16 of 330 [4.9%]; p < .01). compared with  with a longer time from symptom onset to ,  who received golden hour thrombolysis had no higher risks for 7 or 90day mortality (adjusted odds ratios, 0.38 [95% ci, 0.091.70]; p = .21 and 0.69 [95% ci, 0.321.53]; p = .36) and were more likely to be discharged home (adjusted odds ratio, 1.93 [95% ci, 1.093.41]; p = .02).  and relevance: the use of stemo increases the percentage of  receiving thrombolysis within the golden hour. golden hour thrombolysis entails no risk to the ' safety and is associated with better shortterm .  registration: clinical.gov identifier: nct01382862.",2015
homecare safety and medication management: a scoping  of the quantitative and qualitative evidence.,"  safety is a current national and international priority, and one of the most prevalent, highrisk fields within  safety is medication safety.14 the links in the chain of events necessary for medication safety include assessment, prescription, dispensing, and monitoring of medications. a weakness in any one of these essential links or a tenuous connection between links may  in an adverse event and harm to the . while medication safety in general demands consideration, there is a critical gap in our understanding of medication safety in the home care sector. understanding what factors contribute to, and/or reduce the risk of adverse drug events in the home setting will enable the identification and promotion of safer medication administration practices. key definitions homecare  and  is rife with inconsistent terminology related to roles. thus, discussion of medication safety in homecare necessitates clarification of terms. for the  of this discussion, caregivers refers to family members or friends in a paid or unpaid role who are responsible for or charged with caring for the . family members are individuals identified by the  and/or caregiver as being close to the  through blood, legal, or emotional ties, and who may or may not reside in the same home as the . finally, providers are employees of organizations providing homecare services. providers may be professionals or nonprofessionals, and regulated or unregulated (e.g. case managers, nurses, aides, pharmacists, and therapists.) compromised medication safety for older adults when medications are not managed safely, the associated costs for , their caregivers/families, providers, and the healthcare  can be severe.410 there is limited evidence from the international  on safety in homecare or safety in medication management in home care. , canadian  indicate that as many as one in five hospitalized canadians suffer adverse events following their discharge home, and two thirds of those events are related to compromised medication safety.1113 furthermore,  themselves have identified problematic  related to insufficient medication safety processes. for example, in the commonwealth survey (2002), 11% of canadian   that they received an incorrect medication at least once.14 medication safety issues are often augmented for older adults. management of multiple chronic illnesses as well as other care needs frequently compounds the complexity of the medication regimens common in this population. in canada‟s seniors, the total annual cost of preventable drugrelated morbidity (pdrm) was estimated to be $11 billion in 2000.7 in addition, a recent  observed that up to one in 11 seniors in halifax, nova scotia experienced a pdrm within a twoyear period.15 many of these lapses in medication safety occur in ‟ homes. because of the myriad of issues faced by elderly homecare recipients, this  will focus on medication safety issues for older adults who receive homecare services, their caregivers/families, and providers. complexity of care in the home homecare is inherently complex, and the demands on the knowledge, ability, energy, and finances of  and their families/caregivers are intensifying as a  of increasing acuity of , decreasing length of hospital stays, and increasing availability of mobile health care technology such as peritoneal and hemodialysis, long term intravenous catheters, and oxygen/inhalation therapy.16 family relationships, the home environment, which is not designed for providing health care, and the cognitive and physical abilities of both  and caregivers further influence care provision. while inhospital, care is predominantly the responsibility of regulated professional providers who work in shifts whereas unregulated providers, family, and caregivers provide much of the care in private homes.17 caregivers for home care  are frequently elderly, and they often grapple with health challenges of their own in addition to lack of sleep as they provide aroundtheclock care with little assistance or relief. family and caregivers often agree to care for  at home out of love and/or a sense of responsibility, but are unaware of the extent of the commitment involved and the drastic impact it can have on their own lives and health.18;19 additionally, providers who work in ‟ homes are exposed to the risks inherent in providing care alone in an unregulated and potentially illequipped setting. thus, the safety of the , caregiver/family, and provider are inextricably linked, and the care and safety of  around medication management cannot be addressed without including caregivers, family members, and providers in the equation.2022 medication safety in homecare current medication safety  focuses predominantly on institutions and paid providers. this  may have little applicability to the homecare setting, just as the traditional means of identifying and describing medication errors (e.g. “drug without indication” or “indication without drug”23) may be neither sufficient nor practical for homecare.24 assessing medicationrelated problems in the home often demands consideration of issues that are often irrelevant in the hospital setting. examples of these are economic issues, such as whether the  can afford to fill his or her prescriptions; access issues, such as whether the  has the physical c to get to a pharmacy; and social issues, such as living with an overwhelmed caregiver who has his or her own health concerns. additionally, there is a great deal of variation in the abilities of caregivers, many of whom are lay people with no formal health care training. there is little in the way of education or preparation for these caregivers, who manage an array of medications in potentially illequipped home settings, frequently while under the influence of stress and fatigue. though providers can help to alleviate risks through assessment and collaborative discussions with  and caregivers, the nature of the home setting requires  and caregivers to make frequent autonomous decisions about medication use with minimal professional supervision, and deficient or absent home and community supports.17 in addition, the home setting presents unique difficulties in documentation and communication related to medications.  shows points of transfer across sectors already hold increased challenges in these essential functions.1113;25 one related danger to homecare  is the implications of insufficient communication for medication reconciliation, defined as the “ and comprehensive  of all the medications a  is taking to ensure that medications being added, changed or discontinued are carefully assessed and documented.”26,p.5 as the potential for receiving inappropriate medication increases, so too does the potential for harmful incidents (an incident which  in harm to a ).27,p.23 shifting perspective: new knowledge requirements homecare continues to be chronically underfunded within a health care  dominated by the acute care setting, despite an everincreasing demand for homecare services. health care strategies for the elderly, including seniors with chronic  and those that need endoflife care, require a fundamental change in perspective. this change is necessary from a shortterm, diseaseoriented perspective with an emphasis on diagnosis and , as well as from a longterm perspective with an emphasis on functional c, health maintenance, prevention of further deterioration, health promotion for the  and caregivers/families, as well as comfort and supportive care. this shift in perspective calls for a new set of competencies (education, skills), and alternative approaches (including behavioral strategies) to care for these  and caregivers/families. the safety implications for medication management in home care need to be addressed in relation to service provision for vulnerable  (i.e., elderly, chronically and/or terminally ill), ethical considerations for the myriad of daily decisions in homecare, and the critical role of , caregivers, and family members as integral members of the health care delivery team. in line with the view proposed by the canadian institutes for health  (cihr), “decisionmakers need information and implementation strategies on how to shift from a world of acute care solutions for chronic care needs to a world of chronic care solutions for chronic care needs,”28 this  will explore existing knowledge related to medication management from a safety perspective for older adults receiving home care as well as their caregivers, families and providers.  existing  related to the issues and challenges faced by this population, as well as any strategies used to mitigate or ameliorate safety risks, will illuminate gaps in current knowledge, identify priority  areas, and advance  safety  in home care. the following explanations/definitions are relevant to the : homecare services personnel • homecare services are the provision of care by a licensed or unlicensed health care provider who is contracted with a homecare agency. • include any paid caregiver, (regulated or unregulated), with or without training, including personal support workers, home support workers, health care aides and lay health care workers. homecare services • include services to address the  of any health  but must specifically address medication management. homedwelling • homedwelling includes people living at home, with friends or family, in retirement homes, senior‟s , residential centers, or communal residences. this  will be a mixed  (quantitative and qualitative) scoping  to establish the state of knowledge on this topic in the current  . it is anticipated that the scoping  will provide an indication of areas to explore further and at greater depth using   . an initial  of the joanna briggs institute  and the  , medline and cinahl has been done and has determined that there are no previous  done on this topic.",2013
telepsychiatry in the assessment and  of schizophrenia.,": telehealth technology has become more available to providers as a means of treating chronic diseases. consideration of the applicability of telehealth technology in the  of schizophrenia calls for a  of the evidence  in light of the special needs and challenges in the  of this population. our aims are to assess the types and nature of distant  for  with schizophrenia, either telephone, internet or video telehealth . : the following , , cinahl, the  , the   of  , the  of  of  of , and em  for the following terms alone or in combination with schizophrenia: telepsychiatry or telemedicine or telepsychology or satellite communication or remote communication. inclusion criteria were: 1)  dealing with telephone, internet or video  and 2)  emphasizing development of an , feasibility or clinical . exclusions included were: 1) single case  and 2)  not written in english. with our  terms, we retrieved a total of 390 , of which 18 unique  were relevant. :  on the limited  available, the use of modalities involving the telephone, internet and videoconferencing appears to be feasible in  with schizophrenia. in addition, preliminary evidence suggests these modalities appear to improve  . discussion: more  is needed. investigators need to improve existing telehealth . in addition,  need to focus on developing newer  and determining whether these approaches can improve  .",2014
"telepsychiatry in chennai, india: the scarf experience.","india, with its huge population and limited mental health resources, must find alternative ways of delivering its mental healthcare services. telepsychiatry seems to be a promising option even with no regulatory  in place or specific laws in india that deal with telemedicine practice, there has been a mushrooming of telemedicine services in india. healthy cooperation between government organizations such as the indian space  organization (isro) and institutions in the nongovernment and private sectors is another key feature in india. the experience of the schizophrenia  foundation (scarf), at chennai, in south india, in running and establishing a telepsychiatry network is presented in this . we identified the following tasks as essential to ensure an efficient  using telemedicine: identifying a suitable technology, a suitable location, and a local collaborator; providing training and creating awareness; establishing peripheral telepsychiatry centers and ensuring case documentation; and accountability.",2008
telepsychiatry and carer education for schizophrenia.,"objective: despite the scientific evidence, most families of people with schizophrenia in europe never receive a carer education programme. we evaluated whether a carer education course delivered by telepsychiatry was as  as a carer education course delivered in situ. : we delivered the carer education course for schizophrenia simultaneously to a carers  in rural north west ireland (remote) via three isdn lines and live to a carers  in a city (host). we compared knowledge gains using the knowledge questionnaire before and after each course. : fiftysix carers of people with schizophrenia  in the . at ,  at the remote and host centers did not differ in terms of knowledge about schizophrenia. after the course, carers at both centers improved significantly and the knowledge gains between  were equivalent at 6 weeks. : telepsychiatry can deliver  carer education programmes about schizophrenia and may provide one solution to bridging the chasm between scientific evidence and clinical reality.",2011
the reliability and acceptability of telemedicine for  with schizophrenia in korea.,"we conducted a pilot  to evaluate telemedicine for  with schizophrenia. the telemedicine  was connected over the ordinary telephone network at 33 kbit/s. a computer  record was used to view   and to allow nursing notes to be entered at the 's home. fifteen  with schizophrenia were assessed over the telemedicine  and 15  were assessed face to face, using the brief psychiatric rating scale (bprs). our lowbandwidth telemedicine  appeared to be as reliable as higherbandwidth isdn . in addition, the ' acceptance of the telemedicine , in terms of comfort, ease of selfexpression, quality of interpersonal relationship and usefulness, was good in most cases. the only factors significantly affecting the ' level of acceptance of their particular type of  were the assessment type (i.e. whether the  had had a telemedicine assessment or not) and their bprs score. since the  was of low cost and was easy to interface with a notebook computer, it could be used support other homehealth nursing services.",2000
